GENESIS-Tabelle: 23131-0010;;;;;;;;;;;;;;;;;;
Krankenhauspatienten: Bundesländer, Jahre,;;;;;;;;;;;;;;;;;;
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;;;;;;;;
;;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2020;ICD10-C43-C44;  Melanom und sonstige BN der Haut;14303;15909;5440;2303;1269;2827;7171;1844;6666;23278;4502;1636;7760;3268;2657;2914
2020;ICD10-C45-C49;  BN d. mesothelialen Gewebes u.d. Weichteilgewebes;3286;4044;3130;1034;289;791;1427;358;1609;5414;746;397;1184;522;696;545
2020;ICD10-C50-C50;  Bösartige Neubildungen der Brustdrüse (Mamma);15473;19488;6259;2894;1586;3504;8010;2252;10480;28954;6250;1755;6394;2931;4118;3072
2020;ICD10-C51-C58;  BN der weiblichen Genitalorgane;7937;12345;4880;1684;672;1710;4777;1153;5587;16296;3195;1028;3604;1806;2103;1908
2020;ICD10-C60-C63;  BN der männlichen Genitalorgane;12117;14804;4967;2124;931;4554;6258;1543;7946;21515;4093;1749;6452;2928;2587;3576
2020;ICD10-C64-C68;  Bösartige Neubildungen der Harnorgane;15071;18611;6949;3825;1247;3663;8639;3284;11998;30979;6051;2099;8472;4248;4195;4258
2020;ICD10-C69-C72;  BN des Auges/Gehirns/Zentralnervensystems;3649;3983;2294;488;241;793;1426;589;1878;5943;978;391;1422;742;776;728
2020;ICD10-C73-C75;  BN der Schilddrüse und sonstiger endokriner Drüsen;2441;3404;1374;335;140;903;1479;333;1200;4774;871;260;826;578;450;571
2020;ICD10-C76-C80;  BN ungenau bez., sekundärer u.n.n. bez. Lokalisat.;15616;17003;6271;2755;1319;3405;7918;2655;9308;28760;5065;1680;6639;3558;3407;3640
2020;ICD10-C81-C96;  BN des lymphat., blutbild. und verwandten Gewebes;18036;23311;9120;4376;1995;4414;8547;3457;11171;36250;6029;2599;9150;3740;3957;6056
2020;ICD10-C97-C97;  BN als Primärtumoren an mehreren Lokalisationen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2020;;Insgesamt;1963358;2650700;806228;488347;175919;458126;1219533;374700;1524592;4061979;832555;249863;893305;515226;540069;510642
2021;ICD10-C00-C14;  Bösartige Neubildung, Lippe, Mundhöhle, Pharynx;6124;6653;2481;1886;878;1310;2899;1681;3737;11045;2061;906;3470;1990;1288;2345
2021;ICD10-C15-C26;  Bösartige Neubildungen der Verdauungsorgane;32611;47997;17102;8703;3028;6507;20582;7604;25193;71973;14297;5121;17270;9696;8726;12762
2021;ICD10-C30-C39;  BN d. Atmungsorgane u. so. intrathorakaler Organe;22840;26386;12686;6470;2732;3509;12849;4417;15637;53884;7423;3477;8976;5480;7130;8230
2021;ICD10-C40-C41;  BN des Knochens und des Gelenkknorpels;1320;1184;620;50;76;210;462;104;462;2098;242;181;385;129;149;236
2021;ICD10-C43-C44;  Melanom und sonstige BN der Haut;14547;16617;5702;2462;1281;2845;7093;1938;6630;24600;4366;1508;7466;3038;2866;2787
2021;ICD10-C45-C49;  BN d. mesothelialen Gewebes u.d. Weichteilgewebes;3280;3990;2757;990;238;777;1593;344;1543;5585;814;384;1115;415;631;537
2021;ICD10-C50-C50;  Bösartige Neubildungen der Brustdrüse (Mamma);15940;19569;6250;2740;1684;3451;8082;2161;10626;28773;5920;1734;6349;2771;4231;3103
2021;ICD10-C51-C58;  BN der weiblichen Genitalorgane;8301;12021;4323;1594;717;1677;4714;1182;5276;16191;3278;1057;3595;1617;2174;2024
2021;ICD10-C60-C63;  BN der männlichen Genitalorgane;12664;15523;4739;2021;958;4383;6244;1712;8019;21506;4321;1727;6324;2710;2624;3619
2021;ICD10-C64-C68;  Bösartige Neubildungen der Harnorgane;15370;18150;6906;3843;1177;3499;8875;3461;12114;31008;5940;2279;8538;4373;4347;4465
2021;ICD10-C69-C72;  BN des Auges/Gehirns/Zentralnervensystems;4018;4005;2032;501;256;854;1387;598;1779;5901;904;360;1283;622;708;729
2021;ICD10-C73-C75;  BN der Schilddrüse und sonstiger endokriner Drüsen;2309;3420;1335;335;142;1005;1569;325;1372;4745;860;316;873;521;435;549
2021;ICD10-C76-C80;  BN ungenau bez., sekundärer u.n.n. bez. Lokalisat.;15253;15983;5694;2462;1262;3397;7510;2604;8980;27324;4672;1778;6092;3424;3400;3367
2021;ICD10-C81-C96;  BN des lymphat., blutbild. und verwandten Gewebes;18241;22759;8221;4088;2100;4119;8487;3205;11984;35329;6050;2806;8358;3883;4030;5996
2021;ICD10-C97-C97;  BN als Primärtumoren an mehreren Lokalisationen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;;Insgesamt;1968537;2630570;769329;472110;176735;461158;1228994;367865;1539886;4104966;823376;247548;843541;486351;547200;489383
2022;ICD10-C00-C14;  Bösartige Neubildung, Lippe, Mundhöhle, Pharynx;5887;6723;2383;1669;807;1155;2902;1490;3631;10567;2015;805;3313;1990;1147;2018
2022;ICD10-C15-C26;  Bösartige Neubildungen der Verdauungsorgane;31635;46475;16527;8814;2753;6146;20217;7369;24298;69299;14231;4871;17112;9091;8150;12945
2022;ICD10-C30-C39;  BN d. Atmungsorgane u. so. intrathorakaler Organe;22137;25401;12299;6433;2463;3255;12552;4313;15071;50146;7105;3328;8843;5226;6917;8186
2022;ICD10-C40-C41;  BN des Knochens und des Gelenkknorpels;1376;1268;640;37;104;178;418;95;437;1931;277;112;327;194;152;197
2022;ICD10-C43-C44;  Melanom und sonstige BN der Haut;15318;17084;6149;2224;1404;2892;7335;1993;6687;25902;4571;1507;7700;2929;3037;2687
2022;ICD10-C45-C49;  BN d. mesothelialen Gewebes u.d. Weichteilgewebes;3093;4023;2382;935;196;663;1431;322;1590;5412;792;293;1154;398;732;513
2022;ICD10-C50-C50;  Bösartige Neubildungen der Brustdrüse (Mamma);15606;19405;6221;2537;1670;3544;8185;1986;10351;28461;5705;1720;5988;2637;4033;3032
2022;ICD10-C51-C58;  BN der weiblichen Genitalorgane;8131;11474;4397;1536;829;1580;4645;1184;5429;15662;3309;1018;3527;1739;2042;1792
2022;ICD10-C60-C63;  BN der männlichen Genitalorgane;12572;16096;5025;2195;896;4355;6459;1727;8212;22495;4469;1816;6396;2552;2633;3657
2022;ICD10-C64-C68;  Bösartige Neubildungen der Harnorgane;14697;18226;7044;3838;1131;3407;8937;3168;11874;31611;5886;2059;8492;4468;4202;4634
2022;ICD10-C69-C72;  BN des Auges/Gehirns/Zentralnervensystems;3976;3939;2003;498;192;791;1291;531;1820;5860;885;419;1358;610;692;808
2022;ICD10-C73-C75;  BN der Schilddrüse und sonstiger endokriner Drüsen;2386;3323;1209;304;108;1058;1586;322;1344;4670;860;277;875;446;445;533
2022;ICD10-C76-C80;  BN ungenau bez., sekundärer u.n.n. bez. Lokalisat.;14616;15293;5580;2560;1229;3095;7480;2309;8783;26088;4399;1563;5709;3084;3074;3097
2022;ICD10-C81-C96;  BN des lymphat., blutbild. und verwandten Gewebes;17584;22524;8466;3969;1722;4175;8134;2791;10551;33625;5621;2547;8365;3605;3844;5517
2022;ICD10-C97-C97;  BN als Primärtumoren an mehreren Lokalisationen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2022;;Insgesamt;1944609;2659875;782560;474124;167169;455391;1244922;370801;1534867;4117793;834770;243602;854646;487914;529891;502651
__________;;;;;;;;;;;;;;;;;;
© Statistisches Bundesamt (Destatis), 2023;;;;;;;;;;;;;;;;;;
Stand: 21.04.2024 / 16:12:01;;;;;;;;;;;;;;;;;;
